MAAND;WAARDE
feb;52.43 
feb;52.49 
feb;52.63 
feb;52.58 
feb;52.38 
feb;53.15 
feb;53.85 
feb;53.89 
feb;53.84 
feb;54.52 
feb;54.27 
feb;54.54 
feb;54.61 
feb;55.04 
feb;55.28 
feb;55.79 
mrt;55.67 
mrt;55.64 
mrt;55.35 
mrt;55.40 
mrt;55.59 
mrt;55.65 
mrt;55.67 
mrt;55.24 
mrt;55.79 
mrt;56.08 
mrt;56.02 
mrt;55.85 
mrt;55.30 
mrt;55.56 
mrt;55.35 
mrt;55.22 
mrt;54.90 
mrt;54.89 
mrt;54.36 
mrt;54.26 
mrt;54.01 
mrt;54.79 
apr;54.57 
apr;54.43 
apr;53.92 
apr;54.74 
apr;55.32 
apr;56.01 
apr;56.21 
apr;56.26 
apr;55.97 
apr;56.70 
apr;56.13 
apr;55.01 
apr;55.36 
apr;55.48 
apr;55.51 
apr;55.49 
apr;55.85 
apr;56.10 
apr;55.49 
apr;54.41 
mei;53.64 
mei;54.83 
mei;54.05 
mei;53.80 
mei;53.87 
mei;55.23 
mei;55.80 
mei;55.09 
mei;54.76 
mei;54.72 
mei;54.79 
mei;55.16 
mei;55.77 
mei;55.97 
mei;56.25 
mei;56.77 
mei;56.67 
mei;56.57 
mei;56.89 
mei;56.63 
jun;56.04 
jun;56.05 
jun;55.19 
jun;54.79 
jun;53.94 
jun;54.10 
jun;53.37 
jun;53.28 
jun;53.75 
jun;53.99 
jun;53.74 
jun;53.26 
jun;53.45 
jun;53.27 
jun;53.16 
jun;53.31 
jun;52.71 
jun;53.43 
jun;52.93 
jun;53.05 
jun;53.32 
jun;52.05 
jul;52.14 
jul;52.40 
jul;52.34 
jul;52.38 
jul;51.63 
jul;51.54 
jul;50.04 
jul;50.71 
jul;50.94 
jul;51.86 
jul;52.30 
jul;52.55 
jul;53.08 
jul;53.07 
jul;52.73 
jul;52.26 
jul;51.89 
jul;51.02 
jul;50.14 
jul;49.12 
jul;49.64 
jul;49.98 
jul;50.41 
aug;50.25 
aug;50.09 
aug;50.39 
aug;51.14 
aug;50.76 
aug;50.41 
aug;50.87 
aug;49.79 
aug;48.80 
aug;49.05 
aug;49.17 
aug;49.38 
aug;49.32 
aug;48.38 
aug;47.17 
aug;45.53 
aug;42.65 
aug;43.36 
aug;43.70 
aug;45.35 
aug;46.07 
sep;45.82 
sep;44.13 
sep;44.38 
sep;45.15 
sep;44.27 
sep;44.14 
sep;45.05 
sep;45.60 
sep;45.00 
sep;44.56 
sep;44.31 
sep;44.58 
sep;45.01 
sep;44.81 
sep;43.90 
sep;44.29 
sep;43.50 
sep;42.70 
sep;41.98 
sep;42.36 
sep;41.20 
sep;40.83 
okt;42.01 
okt;42.26 
okt;42.67 
okt;43.83 
okt;44.32 
okt;45.41 
okt;45.58 
okt;45.91 
okt;45.43 
okt;44.92 
okt;44.85 
okt;45.38 
okt;45.39 
okt;45.16 
okt;45.10 
okt;45.33 
okt;46.82 
okt;47.79 
okt;47.60 
okt;46.97 
okt;47.25 
okt;47.26 
nov;47.06 
nov;47.25 
nov;47.97 
nov;47.97 
nov;47.53
nov;48.04
nov;47.71
nov;47.62
nov;47.69
nov;46.72
nov;46.89
nov;47.09
nov;47.74
nov;48.07
nov;48.04
nov;48.21
nov;48.08
