MAAND;WAARDE
feb;55.34
feb;54.87
feb;55.28
feb;55.63
feb;56.5
feb;57.05
feb;57.16
feb;57.01
feb;57.58
feb;57.96
feb;58.05
feb;58.99
feb;59.46
feb;59.57
feb;60.28
mrt;60.21
mrt;60.63
mrt;60.09
mrt;60.44
mrt;61.18
mrt;61.72
mrt;61.61
mrt;61.23
mrt;62.27
mrt;62.43
mrt;62.52
mrt;63.15
mrt;62.52
mrt;62.66
mrt;62.81
mrt;63.21
mrt;63.34
mrt;63.7
mrt;62.75
mrt;61.8
mrt;61.64
mrt;62.65
apr;62.2
apr;62.38
apr;62.72
apr;63.82
apr;63.62
apr;64.21
apr;64.95
apr;65.26
apr;64.85
apr;64.89
apr;64.21
apr;63.18
apr;63.95
apr;64.33
apr;64.43
apr;64.05
apr;64.42
apr;65.24
apr;64.51
apr;62.92
mei;62.61
mei;63.5
mei;62.28
mei;61.94
mei;61.86
mei;63.11
mei;63.47
mei;63.07
mei;62.94
mei;63.54
mei;63.52
mei;63.15
mei;64.08
mei;64.14
mei;64.23
mei;64.06
mei;64.12
mei;63.7
mei;64.5
mei;64.58
jun;63.86
jun;63.88
jun;63.76
jun;63.88
jun;63.12
jun;61.99
jun;61.32
jun;61.45
jun;62.22
jun;62.24
jun;61.47
jun;60.71
jun;61.26
jun;60.73
jun;61.1
jun;61.59
jun;61.71
jun;62.6
jun;62.17
jun;62.25
jun;62.42
jun;60.37
jul;59.97
jul;60.9
jul;60.21
jul;59.97
jul;59.26
jul;57.86
jul;57.92
jul;59.36
jul;60.48
jul;61.56
jul;61.95
jul;62.39
jul;62.93
jul;62.78
jul;63.44
jul;62.87
jul;62.69
jul;62.47
jul;62.21
jul;60.74
jul;60.94
jul;61.7
jul;61.74
aug;61.7
aug;62.27
aug;62.07
aug;62.24
aug;62.12
aug;61.1
aug;61.41
aug;60.78
aug;59.29
aug;59.87
aug;59.5
aug;59.51
aug;59.58
aug;58.69
aug;57.43
aug;56.03
aug;53.26
aug;55.74
aug;55.02
aug;56.95
aug;57.05
sep;56.94
sep;55.73
sep;55.53
sep;57.01
sep;55.59
sep;55.55
sep;56.05
sep;56.5
sep;55.42
sep;54.66
sep;54.36
sep;55.28
sep;55.63
sep;55.61
sep;54.66
sep;55.28
sep;53.88
sep;54.24
sep;52.75
sep;53.84
sep;52.71
sep;52.52
okt;53.59
okt;53.32
okt;53.91
okt;55.65
okt;56
okt;55.98
okt;56.1
okt;56.3
okt;55.99
okt;55.86
okt;55.77
okt;56.43
okt;56.71
okt;57.06
okt;57.21
okt;57.66
okt;58.36
okt;59.27
okt;59.29
okt;58.66
okt;59
okt;59.22
nov;59.22
nov;59.47
nov;59.23
nov;59.44
nov;59.16
nov;59.85
nov;59.45
nov;59.39
nov;59.72
nov;59.13

